,index,Country or Area,Year,Commodity,Trade (USD),Weight (kg),Quantity
8376,89283,Guyana,1999,"Bovine meat salted, dried or smoked",691.0,679.0,679.0
8377,89325,Guyana,1997,"Bovine meat salted, dried or smoked",7000.0,2250.0,2250.0
8378,89363,Honduras,2017,"Bovine cuts boneless, fresh or chilled",2513376.06,496640.67,496640.97
8379,89365,Honduras,2017,"Bovine cuts bone in, frozen",76351.57,16891.9,16891.9
8380,89367,Honduras,2017,"Bovine cuts boneless, frozen",6196778.91,1774417.39,2674409.14
8381,89379,Honduras,2017,"Bovine edible offal, fresh or chilled",28050.22,4592.5586880233,4592.5586880233
8382,89381,Honduras,2017,"Bovine tongues, frozen",6982.93,1119.06,1119.06
8383,89383,Honduras,2017,"Bovine livers, frozen",32747.71,25989.39,39024.39
8384,89385,Honduras,2017,"Bovine edible offal, frozen except livers and tongues",226832.19,154337.38,212573.63
8385,89407,Honduras,2016,"Bovine cuts boneless, fresh or chilled",1939722.0,388533.0,388533.0
8386,89409,Honduras,2016,"Bovine cuts bone in, frozen",212078.0,39503.0,39503.0
8387,89411,Honduras,2016,"Bovine cuts boneless, frozen",951395.0,334494.0,334494.0
8388,89422,Honduras,2016,"Bovine edible offal, fresh or chilled",47716.0,13.0,13.0
8389,89426,Honduras,2016,"Bovine edible offal, frozen except livers and tongues",114945.0,116106.0,116106.0
8390,89449,Honduras,2015,"Bovine cuts boneless, fresh or chilled",2875653.0,519745.0,519745.0
8391,89452,Honduras,2015,"Bovine cuts bone in, frozen",50847.0,28374.0,28374.0
8392,89454,Honduras,2015,"Bovine cuts boneless, frozen",4095972.0,927990.0,927990.0
8393,89467,Honduras,2015,"Bovine edible offal, fresh or chilled",61760.0,1675.0,1675.0
8394,89469,Honduras,2015,"Bovine tongues, frozen",40830.0,8530.0,8530.0
8395,89471,Honduras,2015,"Bovine livers, frozen",1097.0,497.0,497.0
8396,89473,Honduras,2015,"Bovine edible offal, frozen except livers and tongues",343532.0,248791.0,248791.0
8397,89494,Honduras,2014,"Bovine cuts bone in, fresh or chilled",62125.0,16914.0,16914.0
8398,89496,Honduras,2014,"Bovine cuts boneless, fresh or chilled",7010181.0,1262111.0,1262111.0
8399,89499,Honduras,2014,"Bovine cuts bone in, frozen",97801.0,96162.0,96162.0
8400,89501,Honduras,2014,"Bovine cuts boneless, frozen",11414071.0,2479724.0,2479724.0
8401,89515,Honduras,2014,"Bovine edible offal, fresh or chilled",92196.0,1470.0,1470.0
8402,89517,Honduras,2014,"Bovine tongues, frozen",108738.0,20946.0,20946.0
8403,89519,Honduras,2014,"Bovine livers, frozen",9912.0,4901.0,4901.0
8404,89521,Honduras,2014,"Bovine edible offal, frozen except livers and tongues",609896.0,322985.0,322985.0
8405,89544,Honduras,2012,"Bovine cuts bone in, fresh or chilled",441878.0,219807.0,219807.0
8406,89546,Honduras,2012,"Bovine cuts boneless, fresh or chilled",21986267.0,4985880.0,4985880.0
8407,89549,Honduras,2012,"Bovine cuts bone in, frozen",46972.0,12936.0,12936.0
8408,89551,Honduras,2012,"Bovine cuts boneless, frozen",11324828.0,2861874.0,2861874.0
8409,89565,Honduras,2012,"Bovine edible offal, fresh or chilled",17700.0,6.0,6.0
8410,89567,Honduras,2012,"Bovine tongues, frozen",40419.0,10414.0,10414.0
8411,89569,Honduras,2012,"Bovine livers, frozen",23424.0,13418.0,13418.0
8412,89571,Honduras,2012,"Bovine edible offal, frozen except livers and tongues",40405.0,24373.0,24373.0
8413,89596,Honduras,2011,"Bovine cuts bone in, fresh or chilled",549427.0,149515.0,149515.0
8414,89598,Honduras,2011,"Bovine cuts boneless, fresh or chilled",21295365.0,5301907.0,5301907.0
8415,89601,Honduras,2011,"Bovine cuts bone in, frozen",101900.0,27216.0,27216.0
8416,89603,Honduras,2011,"Bovine cuts boneless, frozen",11523254.0,3165788.0,3165788.0
8417,89617,Honduras,2011,"Bovine edible offal, fresh or chilled",15084.0,1840.0,1840.0
8418,89619,Honduras,2011,"Bovine tongues, frozen",6816.0,1483.0,1483.0
8419,89621,Honduras,2011,"Bovine livers, frozen",9210.0,5597.0,5597.0
8420,89623,Honduras,2011,"Bovine edible offal, frozen except livers and tongues",110476.0,91735.0,91735.0
8421,89649,Honduras,2010,"Bovine cuts bone in, fresh or chilled",33743.0,19762.0,19762.0
8422,89651,Honduras,2010,"Bovine cuts boneless, fresh or chilled",4690313.0,1545859.0,1545859.0
8423,89655,Honduras,2010,"Bovine cuts boneless, frozen",3863362.0,1630048.0,1630048.0
8424,89670,Honduras,2010,"Bovine edible offal, fresh or chilled",9678.0,3661.0,3661.0
8425,89674,Honduras,2010,"Bovine edible offal, frozen except livers and tongues",58689.0,96172.0,96172.0
8426,89699,Honduras,2009,"Bovine cuts boneless, fresh or chilled",2176606.0,662377.0,662377.0
8427,89702,Honduras,2009,"Bovine cuts bone in, frozen",57392.0,24212.0,24212.0
8428,89704,Honduras,2009,"Bovine cuts boneless, frozen",2972766.0,1275803.0,1275803.0
8429,89722,Honduras,2009,"Bovine edible offal, frozen except livers and tongues",108883.0,68131.0,68131.0
8430,89749,Honduras,2007,"Bovine cuts bone in, fresh or chilled",129459.0,53102.0,53102.0
8431,89751,Honduras,2007,"Bovine cuts boneless, fresh or chilled",786993.0,2167184.0,2167184.0
8432,89754,Honduras,2007,"Bovine cuts bone in, frozen",7358.0,3276.0,3276.0
8433,89756,Honduras,2007,"Bovine cuts boneless, frozen",280651.0,123684.0,123684.0
8434,89775,Honduras,2007,"Bovine edible offal, fresh or chilled",71730.0,71010.0,71010.0
8435,89779,Honduras,2007,"Bovine edible offal, frozen except livers and tongues",21496.0,51681.0,51681.0
8436,89807,Honduras,2007,"Bovine meat salted, dried or smoked",10.0,1.0,1.0
8437,89811,Honduras,2006,"Bovine cuts bone in, fresh or chilled",91560.0,38102.0,38102.0
8438,89813,Honduras,2006,"Bovine cuts boneless, fresh or chilled",1151410.0,459453.0,459453.0
8439,89817,Honduras,2006,"Bovine cuts boneless, frozen",44122.0,28578.0,28578.0
8440,89833,Honduras,2006,"Bovine edible offal, fresh or chilled",53209.0,63142.0,63142.0
8441,89837,Honduras,2006,"Bovine edible offal, frozen except livers and tongues",2364.0,562.0,562.0
8442,89866,Honduras,2005,"Bovine cuts bone in, fresh or chilled",223860.0,95255.0,95255.0
8443,89868,Honduras,2005,"Bovine cuts boneless, fresh or chilled",2455321.0,1011664.0,1011664.0
8444,89871,Honduras,2005,"Bovine cuts bone in, frozen",2177.0,894.0,894.0
8445,89873,Honduras,2005,"Bovine cuts boneless, frozen",229386.0,101216.0,101216.0
8446,89889,Honduras,2005,"Bovine edible offal, fresh or chilled",76656.0,62799.0,62799.0
8447,89918,Honduras,2005,"Bovine meat salted, dried or smoked",30.0,1.0,1.0
8448,89922,Honduras,2004,"Bovine cuts bone in, fresh or chilled",701573.0,307266.0,307266.0
8449,89924,Honduras,2004,"Bovine cuts boneless, fresh or chilled",3121588.0,1319411.0,1319411.0
8450,89927,Honduras,2004,"Bovine cuts bone in, frozen",47040.0,19051.0,19051.0
8451,89929,Honduras,2004,"Bovine cuts boneless, frozen",164592.0,78527.0,78527.0
